153000045001010102001   5310 #0001    N 027703RBDCBEACBDB*ECBDEACEABDCEDDAABDCBDEEAACAABEDCACAECDADCACACBDD                              
153000046001010102001   5310 #0001    N 027688 DAEAABCADABCBEAEEEDCCCCDDCCCDBBDDCCC BACAECCADD                                           
153000047001010102001   5310 #0001    N 027463R                   EADBBAEBCEAEE A  B      EBBACBBEDCCCCCEDE                              
153000048001010102001   5310 #0001    N 027690 BACCCBBBDBC AEE BAEBDDCBAEAEAAEEECCCEBBDBBBEDDCABABEBCCACDBD                              
153000049001010102001   5310 #0001    N 027702RACBCDAECBCEDADCAEDBCAECBDCBAEBCBDAEBDAECDBEBDC ECDADCACACBDD                              
153000050001010102001   5310 #0001    N 027627 CADACBDECDADBECDECEBBDBCCEABBADDEABBEBEADBBECBCBEAAEDCCACDDD                              
153000051001010102001   5310 #0001    N 027628RCADACBCDDEBCBDDDEDAEDDCAACACECCBAAEBECEEBBDEACCBEAAEACCACDDD                              
153000052001010102001   5310 #0001    N 027630RCADACBCDDDCDCCDBEBAAECAAEDDDBCCBCDEADCEBDEDDDECBCABD ADACDDC                              
153000053001010102001   5310 #0001    N 027631REEBAEABDDBBEBECDBECEDDAAEEBCEAAEDCDBABDCACBEDBCEEAAECAEDADDD                              
153000054001010102001   5310 #0001    N 027632REABAECBDDDACDBDCECABBEDADCDCBACAEEDDAECBDDEDDBCEDACDCEDDBADD                              
153000055001010102001   5310 #0001    N 027638RDEADCDDBCCEBACCCDAAADDCBADCAAACDBACABBAEDDDEACEBAAEAEBAADAAE                              
153000056001010102001   5310 #0001    N 027637RDEBCCDCBCAAE CCDEDBCDAEAEDCABACCDAAABDBEDDAEECDBAAEAEEAADAAE                              
153000057001010102001   5310 #0001    N 027640RABBDCBECDECDBECDDEEABDCCEDADBAAEEBCADCEDBDCEADCEAAAECADCBDDD                              
153000058001010102001   5310 #0001    N 027639RABBDCDDCDEDBCECDAEEADDCCEAADBAAEEBCADDEAAECEADCAEACBEBAADAAE                              
153000059001010102001   5310 #0001    N 027636 BDABBABEDDA AA CDCDABCBABECAAAA BAAACDDBACDEECDCADCAACCECCDE                              
153000060001010102001   5310 #0001    N 027644RAEDCBCAECBDDCBDCEDDBADCCDDEDEDDCEAEDCBCBCBDCCADCEAAECADACDDD                              
153000061001010102001   5310 #0001    N 027643RCEBBCEBDCB  BEDBECBABECABEEEBECDEA AABDBCCCEDACDAAAECAEACDDE                              
153000062001010102001   5310 #0001    N 027629RAAEACBCADDBDCCECABAAEDCDACECACCBBAEAACEEEBEEDCCABAADBCCACDDD                              
153000063001010102001   5310 #0001    N 027635REBABBEADDBBADBBCBDADDDCCADCEBCEDEADAADDBBADEABCDEAAECEDBBADD                              
153000064001010102001   5310 #0001    N 027633REEBACEADEBDCDCBEECDBBDBACAABECECCAEDACDBBCCEAACBEAEECCEACBDE                              
153000065001010102001   5310 #0001    N 027646R EBBCBA D   B   C CAAD  BDA EEABEAEAAB  D CE   CCACECDCACBDD                              
153000066001010102001   5310 #0001    N 027634REEBACBDCDBEADBEBCADEBECDDCDCBABDCEDCBDDBBCDEABCDDAAADCDACBDD                              
153000067001010102001   5310 #0001    N 027667RBE BCCC DCEACDAEDDCABD BDDACBBABDAEAABCADCCEBCDCAAAACCCACBDD                              
153000068001010102001   5310 #0001    N 027645RBEDBCBACDCEACDAEDDCABDCBDDACBBABDAEAABCADCDEBCDCAAAACCCACBDD                              
153000069001010102001   5310 #0001    N 027666RBE BCCDCDCEACDAEDDAAADCEDDEEBAABDAEAACCADCCEBCDBEAAEAAEACACD                              
153000070001010102001   5310 #0001    N 027665RBEBBCCDCDEEACDAEDDAAADBEDDEEBAAADAECBCCADCDEBCDBAAAAAAEACBDD                              
153000071001010102001   5310 #0001    N 027642RE  CD ECABBBCABCBABCD C CEEACACDDBAD CA BECDBACEBBBCCACBAADB                              
153000072001010102001   5310 #0001    N 027641 CCBBCAACBDBADCCCEECBD CCBBCAAAEDEBAECCEBBECEAACEBBBBCADBAEDD C  B                         
